frame_len;vlan_id;ip_len;ip_flags_df;ip_ttl;x_ws_expert_severity;tcp_srcport;tcp_dstport;tcp_len;tcp_hdr_len;tcp_window_size_value;tcp_pdu_size;x104apci_apdulen;x104apci_tx;x104apci_rx;x104asdu_typeid;x104asdu_causetx;attack
60;NaN;44;0;57;2097152;56968;54141;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;47232;25845;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;58309;50379;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;53;2097152;56968;30523;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;47232;55061;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;58309;33593;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;47232;40240;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;56968;21934;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;58309;5490;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;56968;6523;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;47232;16564;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;58309;48032;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;40;2097152;56968;16415;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;59;2097152;47232;13272;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;58309;55583;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;37;2097152;56968;36007;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;47232;991;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;56968;56465;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;58309;40321;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;54;2097152;47232;53445;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;58309;5388;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;56968;49545;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;47232;33526;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;58309;24637;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;56968;14635;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;47232;37172;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;58309;15490;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;47232;29733;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;58309;15489;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;56968;36309;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;49;2097152;47233;25845;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;56967;54839;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;54;2097152;58308;65376;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;49;2097152;58308;7263;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;41;2097152;47233;55061;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;56967;6485;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;47233;40240;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;58308;37690;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;56967;54086;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;47233;16564;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;56967;47166;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;47;2097152;58308;39391;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;58308;56557;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;53;2097152;47233;13272;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;40;2097152;56967;17452;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;47233;991;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;56967;62195;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56967;8519;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;51;2097152;58308;35701;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;47233;53445;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;58308;525;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;59;2097152;56967;18748;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;58308;28556;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;47233;33526;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;56967;40900;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;59;2097152;47233;37172;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;54;2097152;58308;21615;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;40;2097152;47233;29733;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;40;2097152;58308;27383;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;56967;53508;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;51;2097152;47232;20174;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;38;2097152;56968;54839;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;44;2097152;58309;65376;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;47232;31632;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;41;2097152;56968;6485;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;41;2097152;58309;7263;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;56968;54086;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;47232;17309;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;58309;37690;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;41;2097152;47232;3185;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;40;2097152;56968;47166;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;58309;39391;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;53;2097152;56968;17452;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;38;2097152;58309;56557;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;41;2097152;47232;13098;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;47232;52699;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;37;2097152;56968;62195;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;56968;8519;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;58309;35701;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;47232;55701;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
